row_id,job_id,resume_id,source_for_sample,claude_label,gpt_label,gemini_label,majority_label,agreement,is_unanimous,embedding_similarity,skill_overlap,weighted_skill_score,resume_category,job_position_title
1,820,238,B_xcat,0,0,0,0,3-0,True,0.608632,0.11111111,0.11738941,INFORMATION-TECHNOLOGY,Sales Associate
2,564,1230,topK,1,0,1,1,2-1,False,0.6349409,0.0,0.0,DIGITAL-MEDIA,Business Development Executive
3,559,21,B_xcat,0,0,0,0,3-0,True,0.54490507,0.0,0.0,HR,Systems Administrator
4,637,1518,topK,0,0,0,0,3-0,True,0.7236128,0.2857143,0.26016358,FINANCE,Data Entry Specialist
5,19,1855,topK,0,0,0,0,3-0,True,0.68073624,0.0,0.0,ACCOUNTANT,CEO
6,138,488,B_xcat,0,0,0,0,3-0,True,0.5290579,0.2,0.23700514,ADVOCATE,Registered Nurse
7,575,2202,B_xcat,0,0,0,0,3-0,True,0.66630954,0.0,0.0,BANKING,Construction Project Manager
8,543,654,topK,1,0,1,1,2-1,False,0.6944183,0.11111111,0.11111111,BUSINESS-DEVELOPMENT,Marketing Intern
9,169,14,topK,1,0,1,1,2-1,False,0.6421341,0.0,0.0,HR,Claims Investigator
10,166,2242,C_rand,0,0,0,0,3-0,True,0.39609313,0.0,0.0,BANKING,Entry Level Surveillance Investigator
11,730,1004,topK,1,0,1,1,2-1,False,0.5408116,0.0,0.0,SALES,"Retail Sales Associate - Furniture​/Mattresses, Quaker Bridge Mall..."
12,195,2440,topK,1,0,1,1,2-1,False,0.78808856,0.44444445,0.43340376,AVIATION,Office Clerk
13,352,1428,B_xcat,0,0,1,0,2-1,False,0.5674485,0.16666667,0.10094563,CHEF,"Manager, Sales and Customer Service"
14,244,276,topK,0,0,0,0,3-0,True,0.65216535,0.11111111,0.11738941,INFORMATION-TECHNOLOGY,Ecommerce Manager  Remote
15,9,1959,B_xcat,0,0,0,0,3-0,True,0.55963105,0.0,0.0,CONSTRUCTION,SR. Web Designer
16,314,885,B_xcat,0,0,0,0,3-0,True,0.5343258,0.0,0.0,FITNESS,Marketing Coordinator
17,754,146,C_rand,0,0,0,0,3-0,True,0.3943702,0.16666667,0.1724138,DESIGNER,VP Marketing & Growth
18,629,2298,topK,1,0,1,1,2-1,False,0.57856077,0.0,0.0,ARTS,sales associate
19,112,1971,A_mid,0,0,0,0,3-0,True,0.4680274,0.11111111,0.11111111,CONSTRUCTION,SAP Alliance Marketing Director
20,65,103,B_xcat,0,0,0,0,3-0,True,0.5102556,0.05,0.054478195,HR,Front-End Engineer/UI Developer
21,396,1450,C_rand,0,0,0,0,3-0,True,0.32119688,0.0,0.0,CHEF,Human Resources Director
22,611,120,C_rand,0,0,0,0,3-0,True,0.29092783,0.14285715,0.15826151,DESIGNER,Art director
23,784,1518,A_mid,0,0,0,0,3-0,True,0.43246037,0.0,0.0,FINANCE,Career Coach (Remote)
24,269,725,B_xcat,0,0,0,0,3-0,True,0.5027026,0.0,0.0,HEALTHCARE,Talent Acquisition Manager
25,426,340,topK,0,0,0,0,3-0,True,0.6306917,0.33333334,0.33333334,TEACHER,Business Development Associate
26,734,1576,C_rand,0,0,0,0,3-0,True,0.33685103,0.0,0.0,FINANCE,Customer Service Agent
27,188,1346,C_rand,0,0,0,0,3-0,True,0.54423326,0.0,0.0,AUTOMOBILE,"Senior Vice President and Managing Director, International Research"
