row_id,job_id,resume_id,source_for_sample,claude_label,gpt_label,gemini_label,majority_label,agreement,is_unanimous,embedding_similarity,skill_overlap,weighted_skill_score,resume_category,job_position_title
2,564,1230,topK,1,0,1,1,2-1,False,0.6349409,0.0,0.0,DIGITAL-MEDIA,Business Development Executive
8,543,654,topK,1,0,1,1,2-1,False,0.6944183,0.11111111,0.11111111,BUSINESS-DEVELOPMENT,Marketing Intern
9,169,14,topK,1,0,1,1,2-1,False,0.6421341,0.0,0.0,HR,Claims Investigator
11,730,1004,topK,1,0,1,1,2-1,False,0.5408116,0.0,0.0,SALES,"Retail Sales Associate - Furniture​/Mattresses, Quaker Bridge Mall..."
12,195,2440,topK,1,0,1,1,2-1,False,0.78808856,0.44444445,0.43340376,AVIATION,Office Clerk
13,352,1428,B_xcat,0,0,1,0,2-1,False,0.5674485,0.16666667,0.10094563,CHEF,"Manager, Sales and Customer Service"
18,629,2298,topK,1,0,1,1,2-1,False,0.57856077,0.0,0.0,ARTS,sales associate
34,198,2084,topK,1,0,1,1,2-1,False,0.73275083,0.5,0.45577154,PUBLIC-RELATIONS,Office Clerk
35,625,968,topK,1,0,1,1,2-1,False,0.50675654,0.0,0.0,AGRICULTURE,Sales Associate - Dalhousie
40,85,1413,topK,1,0,1,1,2-1,False,0.6367358,0.25,0.17076151,CHEF,Kitchen Cleaner (Utility)
42,128,2246,topK,1,0,1,1,2-1,False,0.6579108,0.6666667,0.6896552,BANKING,Business Development Center Representative - Performance Columbus
44,238,1992,topK,1,0,1,1,2-1,False,0.8115642,0.2,0.16666667,CONSTRUCTION,Infrastructure Services Project Manager
46,205,457,topK,1,0,1,1,2-1,False,0.63162416,0.0,0.0,ADVOCATE,Medicaid Fraud Intake Officer  (22000555)
48,80,1075,topK,1,0,1,1,2-1,False,0.47574428,0.0,0.0,SALES,Commission Sales Associate
55,420,1524,topK,0,1,1,1,2-1,False,0.8349399,0.25,0.27492374,FINANCE,"Senior Accountant, Banking (Lakewood)"
56,608,674,topK,1,0,1,1,2-1,False,0.5927873,0.0,0.0,BUSINESS-DEVELOPMENT,Broadcast Media Sales
65,319,1145,topK,0,0,1,0,2-1,False,0.62834597,0.25,0.25,CONSULTANT,Career Coach Waitlist (Part-time/Contract/US Remote)
66,332,1147,topK,1,0,1,1,2-1,False,0.5719766,0.3,0.2754756,CONSULTANT,Technical Support Agent (Remote CT/MT/PT USA)
68,452,2211,topK,0,0,1,0,2-1,False,0.5969887,0.0,0.0,BANKING,Sales leader
70,780,1319,B_xcat,0,0,1,0,2-1,False,0.60833544,0.0,0.0,DIGITAL-MEDIA,Vice President Marketing
81,266,61,topK,1,0,1,1,2-1,False,0.7191817,0.5,0.43160117,HR,Talent Acquisition Coordinator/ Technical Recruiter (100% Remote...
82,691,459,topK,0,0,1,0,2-1,False,0.66404676,0.4,0.4,ADVOCATE,Medical Receptionist
86,697,1930,topK,0,0,1,0,2-1,False,0.65379786,0.11111111,0.11111111,CONSTRUCTION,Project Manager
87,251,571,topK,0,1,1,1,2-1,False,0.7673242,0.2,0.23142204,BUSINESS-DEVELOPMENT,"Manager, Commerce Marketing"
94,736,327,A_mid,0,0,1,0,2-1,False,0.48243845,0.11111111,0.11759695,INFORMATION-TECHNOLOGY,CCRD Customer Service Representative - Work from Home (Remote)
97,693,481,topK,1,0,1,1,2-1,False,0.6617723,0.0,0.0,ADVOCATE,Sales Associate/Beauty Advisor
99,4,1167,B_xcat,0,0,1,0,2-1,False,0.5090667,0.1,0.12384478,CONSULTANT,Web Developer
103,730,1036,topK,1,0,1,1,2-1,False,0.53839856,0.0,0.0,SALES,"Retail Sales Associate - Furniture​/Mattresses, Quaker Bridge Mall..."
110,834,2351,topK,1,0,0,0,2-1,False,0.6968161,0.5,0.48612654,ARTS,Executive Assistant
111,193,1914,topK,1,0,1,1,2-1,False,0.69013155,0.6666667,0.60296285,ACCOUNTANT,Fraud & Compliance - AML/BSA Specialist
