row_id,job_id,resume_id,source_for_sample,embedding_similarity,skill_overlap,weighted_skill_score,resume_category,job_position_title,resume_text,job_description
1,820,238,B_xcat,0.608632,0.11111111,0.11738941,INFORMATION-TECHNOLOGY,Sales Associate,"INFORMATION TECHNOLOGY CERTIFIED TECHNICIAN       Summary    Over Nineteen years of experience in Information Technology.Information Technology professional with well-developed interpersonal, communication, organizational and presentation skills. 
Solutions-focused, team oriented Senior Technical Support Analyst with broad-based experience and hands-on skills in the successful implementation of highly effective desktop support operations.
A broad understanding of computer hardware and software, including installation, configuration, management, trouble-shooting, and support. Extensive experience with HP products to include Desktop, Laptop, high-end MFP devices and Web JetAdmin,
Areas of direct expertise include Project Coordination & Design, In-depth Technical Support, Corporate Desktop Support, Microsoft OS experience including installations-configuration-imaging, migration, and registry editing. Network and Citrix experience. Recommendations listed on 
Roz Arasmo - Estee Lauder Companies, Inc., Human Resources Administrator
It is with great pleasure do I take this opportunity to write this recommendation on such an extra ordinary individual who is not only an awesome person to know but a wonderful colleague as well.
During the almost ten (10) years of knowing Bill, he has not only displayed a great talent within the IT organization at Estee Lauder, but has distributed excellent skills and customer service to everyone throughout the company. He is extremely well thought of from every level of management to Senior management. His dedication and diligent to excellence has proven superior time and time again.
When called upon he demonstrates top support in a timely and professional manner not to mention that he completes his tasks thoroughly with accuracy never having to be called back again for the same issue. 
We have been privileged to have such an awesome professional within our organization.
________________________________________________________________________ [...]","sales representative

at cpf we pride ourselves on being a leading distributor in the wholesale flower industry by providing beautiful and unique flowers to many of the country s top wedding and event florists and offering exceptional customer service cpf is a dynamic and growing company

position summary

responsible for building strong customer relations through knowledge and exemplary customer service plan and carry out all sales activities on assigned accounts responsible for ensuring customer satisfaction managing the quality of products and services

essential functions

establish new accounts by planning and organizing a daily work schedule

service existing accounts

obtain orders

develop sales proposals

participate in sales events

generate and qualify leads

source and develop client referrals

develop and maintain a customer database

collaborate with sales manager to strategize sales action plan for new and existing business

comprehension of all sales programs

communicate needs to buyer

develop and maintain sales and promotional materials

monitor competitors market conditions and product development

understand and aid in transportation solutions

ensure customer service satisfaction and good client relationships follow up on sales activity

perform quality checks on product and service delivery

resolve customer complaints by investigating problems developing solutions

other functions as required

minimum qualifications

knowledge of customer service princ [...]"
2,564,1230,topK,0.6349409,0.0,0.0,DIGITAL-MEDIA,Business Development Executive,"DIGITAL MEDIA CONSULTANT       Summary     Dynamic and results-driven Outside Sales and Territory Manager with over 15 years of successful new business development, competitive market share expansion, and customer relationship development. Creative,goal oriented and motivated team leader who develops strong working relationships,adapts well to a changing environment and provides clear direction.       Highlights           Successful Sales & Revenue Generation   Leadership & Team Building   Experienced Account Management   Effective Presentation Skills       Operations Management   Training/Instruction   Client Relations/Customer Service Development   Adapt at Creating & Executing Strategies             Accomplishments      2004,05, President's Club award recipient.   2013 Top five Digital Solutions Media Consultant while working at the NY Daily News.   Started a successful magazine publishing company in 2004 with distribution spanning as far as Japan. Generated $500,000 in advertising revenue.       Experience      Digital Media Consultant   11/2012   to   09/2014     Company Name   City  ,   State      Achieved monthly sales goals through vigorous marketing and selling of the NY Daily News Digital Solution products to small to mid-sized businesses. Maintained a daily 20-25 face-to-face cold call regimen to setup appointments with perspective clients in the NYC, Northern NJ areas. Provided clients with multi-service solutions based on their insight and marketing needs.    Presented and created custom presentations outlining details and benefits based each client's marketing needs and goals.  Developed and implemented innovative marketing strategies to reach sales goals.  Strong knowledge of the Internet as a sales & marketing tool and the use of social media.  Successfully managed all campaign execution according to the client's program goals.  Manage existing client relationships and while continuously looking for ways to grow revenue across team accounts.   Drove [...]","about us
yipitdata is the leading market research firm for the disruptive economy and recently raised  from the carlyle group at a valuation of over 

we analyze billions of data points every day to provide accurate detailed insights on ridesharing ecommerce marketplaces payments and more our ondemand insights team uses proprietary technology to identify license clean and analyze the data many of the worlds largest investment funds and corporations depend on

we are one of incs best workplaces  a fastgrowing technology company with offices located in nyc where we are based in hong kong and shanghai backed by norwest venture partners and the carlyle group with a strong culture focused on mastery ownership and transparency

about the role and challenges youll be helping to solve

we are looking to add an experienced business development executive to our team who will act as a main growth driver to position yipitdatas musthave products within our base of active clients

as a business development executive you will be responsible for effectively managing the commercial relationship with current clients developing rapport with key decision makers identifying upsell opportunities running the sales process from the beginning to the end and negotiating enterprise agreements you will create advocates for our products and constantly assist clients in finding answers to their key questions by collaborating closely with our client strategy research and data product teams
this is a remote [...]"
3,559,21,B_xcat,0.54490507,0.0,0.0,HR,Systems Administrator,"HR ASSOCIATE         Professional Summary    Enthusiastic and goal-oriented HR Professional with 3+ years experience driving innovation and strategy for a global
technology organization. Excellent reputation for proactively resolving problems, communicating effectively, and
driving overall operational improvements. Relocating to the San Francisco Bay Area and seeking a fulltime role
in Human Resources or Talent Acquisition where I can leverage my experience and provide value to the company.      Skills          Recruiting  Onboarding  Project Management  Event Planning  Employee Relations  Teamwork/Collaboration  Training and Development  Public Speaking  Social Media Marketing  ADP  Workday  Microsoft Office Suite  ADP  Benefits  Branding  Budget  Oral communication  Competitive  Email      Employee Relations  Event Planning  Focus  Hiring  HRIS  HR  Leadership  Marketing  MS Excel  Microsoft Office Suite  Product manager  Project Management  Public Speaking  Recruiting  Recruitment  Researching  Strategy  Teamwork  Workshops  Written            Work History      HR Associate  ,     07/2018   to   12/2019     Company Name   –   City  ,   State      Conducted full lifecycle university recruitment (sourcing, screening, selecting, hiring, and onboarding)
Learned multiple HRIS systems and recruiting platforms including Workday, Taleo and Handshake
Led company internship program and facilitated training for interns across different functions and locations
Served as student liaison for company hackathon and grew participation from 20 to 100+ attendees
Proactively communicated with business partners, hiring managers, and external candidates to quickly
resolve issues and ensure overall positive recruitment experience
Gained proficiency in variety of other HR tasks to include strong understanding of compensation and benefits,
training and development, employee relations, and regulatory compliance.         HR Intern  ,     09/2016   to   12/2017     Company Name   –   City [...]","as an it support specialist the successful candidate will be responsible for life cycle maintenance of systems network and servers and providing technical computer support

responsibilities
 excellent troubleshooting skills and prompt resolution of networking andor computer issues
 operating system and application issue diagnosis and resolution ability
 windows server configuration and troubleshooting which may include active directory group policy server backups etc
 take ownership of specific projects and oversee it to its completion
 basic microsoft exchange  maintenance and troubleshooting
 vmware server management
 perform hardware and software moves changes additions and upgrades
 ability to configure and troubleshoot wiredwireless networks including managed switches wifi etc
 provide documentation through service tickets of tasks performed and issue resolution
 identify potential issues with computer systems and recommend changes to improve it environment

skills  experience
  years technical experience in large environments recentrelevant experience in the fields of it windows network technology with an advanced knowledge of computer troubleshooting
 microsoft certification is a plus
 familiarity with helpdesk incident and ticket resolution process
 ability to communicate effectively with team members and end users
 independent thinking and effective time management
 ability to prioritize and manage multiple projects simultaneously in a fast paced environment
 creativ [...]"
4,637,1518,topK,0.7236128,0.2857143,0.26016358,FINANCE,Data Entry Specialist,"FINANCE MANAGER         Summary     Pro-active, results-oriented, deadline driven with broad experience in all aspects of accounting and financial management.  Solid planning and organizational skills in coordinating all aspects of each project from inception through completion.  Sees the big picture and plans appropriate strategies to achieve results.  Well disciplined with proven ability to manage multiple assignments efficiently under extreme pressure while meeting tight deadline schedules.  Strong team builder and facilitator, creates an atmosphere that encourages individual growth among accounting professionals while maximizing their potential and production.  Ascertains needs and goals, streamlines existing operations, envisions new concepts and looks for areas of improvement while following through with development and direction.  Clearly and effectively communicates direction, commits people to action with timelines, and transforms complex information into easily understood formats.        Highlights         SAP, Dynamics AX, AS400, SBT, IFRS, JD Edwards, MAS90, Great Plains and Quickbooks.  Access, SAS and SQL.  MS Office including Excel 2010, 2007 and 2003.  UltiPro, ADP, Report Smith, E-Time Heavy, TimeSaver, EZLabor and EasyPay.     Comprehensive experience in Organizational Re-Engineering  Inventory Control/Purchasing  Reporting/Process  Improvement Financial   Management/Analysis   Quarterly/Year-End Audit   Budget & Forecasting   Preparation/Administration   General Accounting/HR/Payroll   Staff Management   Business Analysis   GAAP/JSOX/ISO/SOX            Experience      Finance Manager  ,   12/2011   to   05/2014    Company Name   －   City  ,   State      Provide financial reports for three plants in the region.  Manage day to day operations to include overseeing all accounting functions, procurement, annual budget forecast, payroll and complying with SOX.  Work with corporate HR in regards to plant personnel and suggest personnel changes in the pla [...]","data entry specialist

job locations usopen to location

job id 

category

growth office

team up with us

are you looking to take your career to the next level yes well armanino is an excellent place to start we operate like a startup and refuse to adopt a culture of unnecessary bureaucracy innovation and agility remain at our core we are unapologetic at wanting to be a high growth firm and have set out to prove that there is a better way to work in finance we are a rapidly growing top national audit tax and consulting firm with a net promoter score close to that of apple and bmw we have been named to ipas best of the best firms in the country and accounting todays pacesetters in growth we have been consistently voted as a best place to work by accounting today various business journals and vault

thedata entry specialist will support the efforts of the analytics  intelligence ai team within the firms growth office function heshe will report to the head of analytics  intelligence and work closed with other specialist within the ai team heshe will be responsible for ongoing maintenance of the firms customer relationship management crm system your top priority will be to perform database entry and maintenance ensuring the accuracy and integrity of information in the crm heshe will be responsible for researching and updating data performing searches to reveal inconsistencies and missing information and performing external research to expandenhance relationship content eg conta [...]"
5,19,1855,topK,0.68073624,0.0,0.0,ACCOUNTANT,CEO,"ACCOUNTANT           Summary    Senior-Level IT Finance Management Professional Highly knowledgeable, dedicated and ethical Senior-Level IT Management Professional, credited with 20 years of expertise in all facets of accounting, financial management, financial analysis, and controllership of IT operating & capital budgets within high-profile corporations. Experienced in various aspects of extensive change management in a corporate environment, outsourcing within transfer of duties, and streamlining processes that provide cost saving solutions and optimal performance. Exceptional leadership in solution management pertaining to the most complex financial questions and cost control concerns. Skilled in collaborating with all members of the organization to achieve business and financial objectives. Instrumental in streamlining and improving processes, enhancing productivity, and driving excellence in departments and talent. Strategic Business Planning Performance Evaluations Financial Standards Productivity Improvement Financial Planning & Analysis Training & Development Cash Flow Management Personnel Management Standards & Compliance Financial & Statistical Modeling Expertise with Financial Systems Training & Development Selected Career Highlights Successful in the oversight of IT operating & capital budgets annually, ensuring that projects and operating expenses remain on plan while keeping the project managers aligned with the budget constraints of each project Exceptional leadership of 32 IT capital projects that are approved and delivered annually Accolades as a Financial Architect for the IT department outsourcing analysis in producing decisions to transfer duties to an overseas organization resulting in a reduction of internal staff by 60% with a projected savings of $12M over 5 years Showcase strength in the management of IT $22M capital budget, as well as a $69 million operating budget Offer advancements with in-depth analysis, financial modeling, competency e [...]","salt creek capital is seeking an experienced operating executive to join the firm as an executive partner the executive is expected to work with the firm to evaluate acquisition opportunities of companies which they would oversee as president  ceo postclose as ceo the executive will be required to manage the full pl develop the growth strategy and provide operational management ceos of companies acquired by scc serve as the most senior business executive at the company and report to  participate on the companys board of directors

qualifications
 at least  years of senior management experience prior successful pl management andor president or gm experience required
 desire to participate as a business partner and ability to balance fiduciary responsibilities to numerous disparate stakeholders
 proven experience ability and desire to manage a business with focus on generating strong free cash flow  ebitda
 entrepreneurial thinker with an appetite to take on a high level of responsibility commensurate with anticipated rewards
 proven ability to manage all aspects of a company
 demonstrated ability to increase profitability through proactive business development efforts
 excellent professional references and high integrity

for more information about the executive partnership program and to apply please visit"
6,138,488,B_xcat,0.5290579,0.2,0.23700514,ADVOCATE,Registered Nurse,"CASE MANAGER/OUTREACH ADVOCATE           Summary     Adaptable and friendly Case Worker and team player with comprehensive background in crisis intervention utilizing motivational interviewing techniques.       Highlights         Microsoft Office, Word, Excel, Outlook, Data Entry and Power Point.        Ability to interact with a diverse population with a compassionate demeanor.Excellent interpersonal skills  Strong communicator  Culturally-sensitive  Self-starter  Skilled multi-tasker  Fast learner  Detail-oriented            Accomplishments     Spearheaded cell phone collection program for survivors.  Received Employee of the Month on multiple occasions.       Experience      Case Manager/Outreach Advocate    June 2008   to   October 2014     Company Name   －   City  ,   State      Caseworker/Outreach Advocate Use Microsoft Word in culmination with Excel to create monthly board reports Responsible for entering daily client data in the Integrated Tracking System Maintaining client files Responsible for maintaining client confidentiality Answer hotline calls Charged with maintaining and ordering all office supplies Used Xerox and fax machine Prepare presentations for outreach events Spearheaded cell phone collection program for survivors Assisted up to 15 survivors of domestic violence and sexual assault per week with setting and achieving goals that lead to recovery and self sufficiency by identifying victim needs and connecting clients to agency services Monitor client's progress with specialized agency service providers (e.g.  housing specialist and employment specialist) to ensure client is meeting goals and to help minimize any potential barriers to success Conduct approximately a dozen monthly home visits to identify changing needs and assess progress.  Provide clients with support, crisis intervention, advocacy, information and additional service coordination, such as transportation and dispatching Serve as the 24 hour on-call responder for one week a month m [...]","alio health has an exciting opportunity for canadian registered nurses rns to live and work abroad in the united states nurses will begin in phoenix arizona while acquiring necessary work documents and then will be relocated to new orleans or the bayou louisiana for the majority of the contract to work fulltime in a hospital setting this is a very unique and exciting opportunity to work in a new country and explore new areas

together with our client alio will be sponsoring a work visa as well as your usa rn license applications we will also be providing a travel and living stipend this contract offers competitive wages which include shift premiums when working afternoons overnight andor weekends which include shift premiums when working afternoons overnight andor weekends

general responsibilities may include
 assessing patients to identify appropriate nursing interventions
 collecting patient health history
 collaborating with members of a multidisciplinary team to plan implement coordinate and evaluate patient care
 monitoring assessing addressing documenting and reporting symptoms and any changes in patient conditions
 promoting a compassionate environment to patients and family members by providing emotional and psychological support when needed
 promoting patient independence by establishing patient care goals and providing education to patients family members and personal care providers
 maintaining patient confidentiality
 may be required to supervise other healthcare [...]"
7,575,2202,B_xcat,0.66630954,0.0,0.0,BANKING,Construction Project Manager,"SOFTWARE QUALITY ASSURANCE ANALYST II       Career Overview    12 years of experience in Software Quality Assurance requirements analysis, test planning, creating test cases, and  test process coordination Experienced with functional, end to end, regression and user acceptance testing of Web based and Client Server interfaces Familiar with the Waterfall and Agile SDLC 7 years experience in customer support/service and handling escalated issues 5 years of running formal training and development programs for system users Advanced Windows OS and MS Office applications user/troubleshooting skills Ability to learn new software very quickly Able to handle multiple projects Take ownership attitude Flexible team player       Qualifications        Microsoft Excel/Word/Outlook/Access/Powerpoint/Frontpage, Windows 7/XP/2k,  DOS, setting up/troubleshooting hardware/software, Mac, Internet, Test Director/Quality Center, Ontime, Zendesk, SharePoint, and basic office equipment                Work Experience      Software Quality Assurance Analyst II     Jan 2012   to   Current      Company Name   －   City  ,   State     Work Environment: Agile,  Windows based, Acuity Electronic Health Record System suite testing and administration, Ontime.com used for incident/bug reporting.  T-SQL used to query/insert/update SQL DB to verify  input/output of test scenarios.  WinAutomation and TestComplete used for automated testing.  Application software testing from local machines and Cloud Share environments.  Excel and Word extensively used for creation of project documentation Responsible for  analyzing the requirements and testing all modules of the Electronic Health Record (EHR) System including Patient, Company, Provider, Referrals, Collaborators, Utilization Management\Authorizations, Care Plans, Assessments, Tasks, Notes and any other modules that require testing.  Testing of the Implementation process from one version of an EHR to another appropriately mapping data from the source datab [...]","job details
description
the purpose of your role as a project manager 
as a project manager you will will provide project management support during all phases of hvac construction to ensure project standards budget deadlines and communications are maintained
manage safety compliance and foster a culture of safetydocument control and reviewmanage scope of workbasic schedule management and field resourcesprocurement management  coordinationestimationfinancial managementdevelop build  maintain relationshipssupport sales processtravel or temporarily relocate to project sites until project is completedwhat were looking for in you
bachelor degree preferred or equivalent years experience  years knowledge or experience in the building and construction industry strong understanding of mechanical systems design techniques tools and principlesproven ability to read and comprehend construction documentsproficient knowledge of microsoft office suite and estimating softwarepmp certification and osha  a plusleed accreditedknowledge a plusability to travel and relocate to different project sites as neededyour life at harris
as one of the countrys leading mechanical contractors harris offers you the best of both worlds the stability resources and opportunities of a national company and the team culture creative spirit and customer loyalty of a local business if you thrive on variety and new challenges we want to meet you
from stadiums to manufacturing facilities power plants to hospitals conc [...]"
8,543,654,topK,0.6944183,0.11111111,0.11111111,BUSINESS-DEVELOPMENT,Marketing Intern,"BUSINESS DEVELOPMENT COORDINATOR/EVENT COORDINATOR           Summary    Dynamic and creative Business Development Coordinator with a successful career in marketing,promotions,public relations,project and communications management.      Highlights          Event Management  Negotiation skills  Customer Targeting  Polyglot      Social Networking  Online Marketing Strategies   Teamwork  Problem Solver            Skills    Responsible and reliable,Highly motivated for career advancement,Able to deal in a mature manner with problem solving,Willing to learn and accept constructive criticism,Willing to help,Good attitude around others,Calm and focused,Good knowledge of social media,Able to use own initiative and work as part of a team,Excellent communication and organizational skills,Versed in all aspects of marketing campaigns from concept development to execution and launch,Skilled marketing professional focused on exceeding revenue goals,Builder of strategic partnership,New customer acquisition expert who emphasizes a mix online and offline marketing strategies.      Experience      Company Name     November 2013   to   Current     Business Development Coordinator/Event Coordinator   City  ,   State      Identify Customer care needs.Networking during events and established good and strong relations, in particular with the main  Businessassociations and Companies of the city.Screen potential Business deals by coordinating requirements,developing and negotiating contracts,integratingcontract requirement with business operations.Co-develop and implement strategic marketing.Identify specific opportunities to direct marketing efforts toward particular based practices areas and clients.Deal with the Chamber of Commerce and The Italian Consulate.Researching markets to identify opportunities for events.Leasing with clients to ascertain their precise event requirements.Producing detailed proposal for events.Agreeing to,and managing a budget.Identify professional and trade associ [...]","the marketing intern works in an inhouse position with the marketing department gaining valuable experience in multiple areas of marketing communications corporate partnerships retail special events  experiences social media digital marketing photography videography advertising research and analytics

essential functions
 regular and predictable attendance is expected and required all cleveland metroparks employees must be prepared to work flexible schedules including evenings weekends andor holidays as required
 provides support to the department and assists with related functions and special projects as assigned
 serve as customer support liaison between public and internal staff
 assists with corporate partnership activation as needed and provides client support
 provides departmental support and assists with related functions and special projects as assigned
 assist in the collection analysis and synthesis of information including survey data collection through inperson interceptsinterviews
 utilizes google analytics to develop insights and make recommendations for digital and website strategy
 assists with setup execution and tear down for special events ribbon cuttings or media interviews
 assists with event promotions including collaboration with partners stakeholders and the media
 performs updates to website content and assists with ongoing website maintenance
 gathers information and creates enewsletter
 drafts andor proofreads written communications social posts pr [...]"
9,169,14,topK,0.6421341,0.0,0.0,HR,Claims Investigator,"HR COORDINATOR         Summary    Applicant Screening, Background Checks, Benefits Administration, Compliance, Compensation, Drug Testing, EEO Inquiries, Employee Relations, Event Planning, Full-Cycle Recruitment, Interviewing, Investigations, New Hire Orientation, Performance Evaluations, Reference Checks, Policy & Procedure Administration, Training and Development, Worker's Compensation, Unemployment Claims.        Accomplishments      Chair, Employee Diversity Council, Kindred Healthcare (2009-2010), Employee Satisfaction Survey Achievement (50% increase in Survey scores within a year), Kindred Healthcare.  Employee of the Month-2005 (Academic Counselor, University of Phoenix).  Performance Achievement Award-1998-Account Executive, Xerox Corporation.  Total Quality Management Training-1999, Xerox Document University.        Experience      Company Name     January 2014   to   Current     HR Coordinator           Develops and coordinates a comprehensive employee recruitment, selection and placement program for all exceptional education teacher vacancies and for the teacher vacancies at the Alternative School, Amelia Street, REAL School and Thirteen Acres.  Seeks out, interviews, screens and recruits applicants to fill existing and future position vacancies.  Coordinates with the licensure associate to ensure applicants meet licensure qualifications.  Refers qualified teachers to administrators for interview.  Develops comprehensive recruiting partnerships with colleges, universities, associations and other school divisions.  Develops recruitment presentations for teacher applicants and conducts on-campus and job fairs orientations for potential applicants.  Ensures that all employment interviewers are trained and recruitment materials are accurate.  Ensures that all recruitment, selection and placement actions comply with Federal and State laws, school board polices and Richmond Public Schools administrative procedures.  Counsels employees to help resolve personne [...]","contact clients to review unemployment cases documenting conversations
 load and handle incoming emails
 screen unemployment documents and write detailed letters to the unemployment state agency
 analyze and review unemployment laws as needed for each case
 what youll doprovide excellent customer service by establishing a rapport with clients and the state agencies
 receive and prioritize claims questionnaires determinations and other unemployment related data
 analyze individual case information by reviewing data accessed through the pc from the investigative telephone calls or document images to determine if the facts warrant a response
 using the details regarding an employees separation provided by the client interpret and apply state laws and regulations in response to unemployment documents
 what experience you need associates degree aa or equivalent from twoyear college or technical school or two years customer service related experience andor training or equivalent combination of education and experience
 if this sounds like somewhere you want to work dont delay apply today  were looking for you
 all qualified applicants will receive consideration for employment without regard to race color religion sex sexual orientation gender identity national origin disability or status as a protected veteran
 primary locationusohcolumbusmill run drivefunctionfunction  fulfillment  operationsschedulefull time"
10,166,2242,C_rand,0.39609313,0.0,0.0,BANKING,Entry Level Surveillance Investigator,"ASSOCIATE CONSULTANT           Professional Summary     7+ years of experience in Analysis, Design, Coding, Testing, Database Administrator & Production Support of application software in Mainframe platform.  Having working Domain experience in the areas of Banking, Financial, Warehouse, Legacy System.  Extensive hands on experience on IBM Mainframe Application programming using COBOL II, CICS, JCL, DB2, VSAM, UNIX.  Using BRIO for generation of Usage Reports.  Extensively used debugging tools such as XPEDITOR, IBM DEBUGER.  Hands on experience on DB2 tools such as QMF, SPUFI, FILE-AID, DB2 Admin, DB2 command editor.  Expertise in using configuration management tools ENDEVOR, SCLM.  Good exposure on Analysis and Designing of Documents like Software requirement Specifications (SRS) and specification design documents (HLD and LLD).   Expertise in using scheduling tool OPC.  Excellent in Problem Troubleshooting, Problem resolution and root cause analysis.  Excellent knowledge of both Batch and Online Systems running on Mainframes.     CERTIFICATIONS: IBMCertified z/OS Database AdmiN,DB2 Application Developer and DB2 UDB V8 family Fundamentals Certifications.         Key Skills          OS : MVS, OS/390, Z/OS, Windows, UNIX.   Databases : DB2,VASM ORACLE,  SQL.   Tools/Utilities : TSO/ISPF, RACF, OPC, QMF, FILE-AID, SPUFI, XPEDITOR,  ENDEVOR, ABEND-AID, SDF, DCLGEN, SUPER-C,IBM SORT, ICETOOL, BMS, Quality Center (8.2), Clear Quest, Fault Analyzer, SDSF, FTP,IBM UTILITIES, JCL UTILITIES. DB2 ADMIN PANEL,SONAR,RDZ,MQ Shooter      Languages : COBOL, JCL, CICS, VSAM, SQL, HTML, XML, JavaScript, REXX and Java  PC Applications : MS-Word, Excel, MS-Office, MS Access.  OLTP : CICS.            Experience      Associate Consultant    October 2010   to   July 2014     Company Name   －   City  ,   State            HSBC CORE BANKING    October 2010   to   July 2014     Company Name   －   City        HSBC Database	: DB2 9.0 Team Size	: 10 Role		: Developer -> Team Member -> Team Lead [...]","digistream investigations a fastgrowing national private investigation firm seeks a talented addition to our investigative team in the greater columbus region

this isnt your average desk job  being a surveillance investigator means youll have a career with excitement travel autonomy and purpose this role is meant for an individual with an adventurous and curious spirit and the drive to provide our clients with the evidence they need to defend their cases

what youll get
 a foot in the door to the investigationssecuritylaw enforcement fields
 experience conducting covert investigations
 a job youll love going to  no one day is the same
 opportunities for growth within the company via our surveillance investigator promotion track
 unlike most pi companies digistream provides full benefits a company vehicle and paid travel
 professional handson training program developed over the course of  years
 quarterly teambuilding events and comradery with fellow team members
 the skills you learn here can lead to jobs in
 fbi  law enforcement
 atf  us border patrol  state crime lab
 law  paralegal  legal assistant
 security  corporate investigations
 investigative journalism

what a day in the life of an investigator looks like
 monitoring following and videotaping subjects as they conduct their daytoday activities
 vehicle and foot pursuit of subjects while maintaining cover
 activity varies from filming someone at a grocery story to filming them at a seahawks game
 crafting presurveill [...]"
